labelcode,cutword
0,臺北 藝術節 FAQ
0,臺北市 信義 區 大樓 後方 人行道 後場 使用 作業 通告
0,台北 電影節 FAQ
0,臺灣 新文化運動 紀念館 位置 聯絡 方式
0,臺灣 新文化運動 紀念館 開館 參觀 時間
0,臺北 兒童 藝術節 FAQ
0,藝文 補助 申請 時間 及計畫 執行 時間
0,新芳 春茶 行 地點 開放 時間 聯絡 方式
0,前往 松山 文創 園區
0,指定 古蹟 建築物 符合 何種 條件 辦理 容積 移轉
0,所有權 人 接獲 古蹟 公告 後 不服 指定 程序 處理
0,臺北市 政府 古蹟 歷史 建築 紀念 建築 聚落 建築 群 考古 遺址 史蹟 文化景觀 審議 組成
0,申請 古蹟 指定 歷史 建築 登錄 古蹟 指定 歷史 建築 登錄 程序 為何
0,錢穆 故居 營業時間 是否 須 收取 門票 聯絡 電話 交通 資訊
0,林語堂 故居 營業時間 是否 須 收取 門票 聯絡 電話 交通 資訊
0,臺北 二二八 紀念館 開館 參觀 時間 交通 方式
0,所有權 人 房舍 指定 古蹟 後 獲得 權益
0,施工 中 疑似 古蹟 建築物 處理
0,家 鄰近 古蹟 權益 受損
0,解除 古蹟 歷史 建築 身分
0,古蹟 週邊 開發 行為 限制
0,人有 資格 修復 古蹟
0,古蹟 遭受 重大 災害 破壞 政府 處理
0,士林 官邸 正館 參觀
0,紫藤 廬 營業時間 是否 須 收取 門票 聯絡 電話
0,台北 故事 館 營業時間 是否 須 收取 門票 聯絡 電話
0,臺北 服飾 文化館 西園 二九 營業時間 是否 須 收取 門票 聯絡 電話 交通 資訊
0,李國鼎 故居 開放 時間 無須 收取 門票
0,臺北 偶戲館 收費 方式
0,工程 範圍 內如有 臺北市 受 保護 樹木 規定
0,申請 老樹 移植 程序 為何 應備 文件
0,寶藏 巖 國際 藝術 村 開放 時間 是否 免收 門票
0,臺北 偶戲館 地址 開館 時間 資訊
0,請問 得知 臺北 偶戲館 相關 資訊
0,查詢 台北市 立案 文化 藝術 基金會 資料
0,請問 臺北 國際 藝術 村 地址 連絡 電話
0,請問 搭乘 大眾 交通工具 臺北 國際 藝術 村
0,臺北 國際 藝術 村 開放 時間 是否 免收 門票
0,請問 臺北 偶戲館 是否 用餐 地方 是否 餐廳
0,請問 臺北 偶戲館 導覽 之外 活動
0,請問 臺北 偶戲館 DIY 教學 是否 需要 費用 費用
0,請問 臺北 偶戲館 小型 互動 演出 表演 是否 需要 費用 費用
0,請問 臺北 偶戲館 以何 活動 為主
0,請問 臺北 偶戲館 是否 適合 學校 校外 教學 參觀
0,購買 文化局 出版 品
0,北投 溫泉 博物館 開放 時間
0,請問 文化局 委外 藝文 館 資訊 取得
0,臺北市 文化 藝術 基金會 設立 基金 門檻 有無 監督 辦法 申請 表格 參考
0,文化 藝術 財團法人 基金會 變更 案該 辦理
0,文化局 標單 買
0,文化局 押 標金 保證金 繳納 專戶 為何
0,臺北市 受 保護 樹木 辦理 修剪
0,請問 臺北市 老樹 保護 法源 內容 為何
0,得知 家 樹 是否 受 保護 樹木
0,是否 出版 品 網站 介紹 本市 公共 藝術
0,臺北市 受 保護 樹木 標準 為何
0,芝山 文化 生態 綠園 地址 開館 時間 資訊 情形
